,time,height,WS,WD,PD,XLAT,XLON,POWER
0,01/01/2015 00:00,100,13.519206,35.02426,1556.1812,41.3218,9.578857,4940.867574
1,01/01/2015 00:30,100,13.291739,31.094086,1479.3969,41.3218,9.578857,4926.001783
2,01/01/2015 01:00,100,12.838842,29.211823,1333.8385,41.3218,9.578857,4887.609908
3,01/01/2015 01:30,100,12.672491,26.597778,1283.2963,41.3218,9.578857,4869.914086
4,01/01/2015 02:00,100,12.559168,26.16034,1248.97,41.3218,9.578857,4856.551109
5,01/01/2015 02:30,100,12.089676,23.835144,1114.2522,41.3218,9.578857,4787.766857
6,01/01/2015 03:00,100,12.046047,21.2276,1102.0154,41.3218,9.578857,4780.114651
7,01/01/2015 03:30,100,11.494185,22.941742,957.3332,41.3218,9.578857,4660.163062
8,01/01/2015 04:00,100,10.868892,17.1969,809.7152,41.3218,9.578857,4458.470634
9,01/01/2015 04:30,100,10.63965,16.419952,759.76337,41.3218,9.578857,4362.48539
10,01/01/2015 05:00,100,10.396617,13.1539,708.8102,41.3218,9.578857,4245.808014
11,01/01/2015 05:30,100,9.857906,6.8928833,604.24866,41.3218,9.578857,3927.375118
12,01/01/2015 06:00,100,9.543173,3.107788,548.1762,41.3218,9.578857,3701.64325
13,01/01/2015 06:30,100,9.47432,3.065033,536.2087,41.3218,9.578857,3648.428865
14,01/01/2015 07:00,100,9.447767,0.9685669,531.6243,41.3218,9.578857,3627.550805
15,01/01/2015 07:30,100,9.435573,356.86517,529.61194,41.3218,9.578857,3617.897284
16,01/01/2015 08:00,100,9.682802,354.0824,572.3143,41.3218,9.578857,3805.379925
17,01/01/2015 08:30,100,10.034858,351.2164,637.08777,41.3218,9.578857,4041.384183
18,01/01/2015 09:00,100,10.589299,351.77295,748.7897,41.3218,9.578857,4339.612674
19,01/01/2015 09:30,100,10.719805,353.31366,776.55914,41.3218,9.578857,4397.542855
20,01/01/2015 10:00,100,11.655587,356.26352,997.21106,41.3218,9.578857,4700.086006
21,01/01/2015 10:30,100,11.520509,5.449646,962.7959,41.3218,9.578857,4666.976151
22,01/01/2015 11:00,100,9.601516,11.384277,557.3385,41.3218,9.578857,3745.676374
23,01/01/2015 11:30,100,9.940573,6.7695923,618.2804,41.3218,9.578857,3981.79854
24,01/01/2015 12:00,100,11.564312,8.416412,972.9863,41.3218,9.578857,4678.047896
25,01/01/2015 12:30,100,12.754808,10.504028,1304.5162,41.3218,9.578857,4878.943417
26,01/01/2015 13:00,100,13.105083,11.461273,1413.6349,41.3218,9.578857,4911.741021
27,01/01/2015 13:30,100,13.41271,11.181183,1514.6228,41.3218,9.578857,4934.226202
28,01/01/2015 14:00,100,13.704294,8.667358,1615.007,41.3218,9.578857,4951.203525
29,01/01/2015 14:30,100,13.378066,9.905365,1502.3464,41.3218,9.578857,4931.947373
30,01/01/2015 15:00,100,12.841999,13.238251,1328.8198,41.3218,9.578857,4887.925061
31,01/01/2015 15:30,100,12.593124,15.522675,1252.6736,41.3218,9.578857,4860.672802
32,01/01/2015 16:00,100,12.471318,14.605255,1216.8193,41.3218,9.578857,4845.398642
33,01/01/2015 16:30,100,12.783419,14.859497,1310.4868,41.3218,9.578857,4881.95501
34,01/01/2015 17:00,100,13.126609,16.890778,1418.6688,41.3218,9.578857,4913.489753
35,01/01/2015 17:30,100,13.138134,18.900513,1422.4121,41.3218,9.578857,4914.41445
36,01/01/2015 18:00,100,13.370243,19.734375,1499.2035,41.3218,9.578857,4931.424452
37,01/01/2015 18:30,100,13.543238,20.16391,1558.2441,41.3218,9.578857,4942.293365
38,01/01/2015 19:00,100,13.8635435,21.575653,1671.4996,41.3218,9.578857,4958.999156
39,01/01/2015 19:30,100,14.064717,22.878723,1745.8291,41.3218,9.578857,4967.579701
40,01/01/2015 20:00,100,14.081152,24.21576,1752.6544,41.3218,9.578857,4968.223846
41,01/01/2015 20:30,100,14.047766,24.951904,1740.3579,41.3218,9.578857,4966.906749
42,01/01/2015 21:00,100,13.575463,26.316895,1570.3826,41.3218,9.578857,4944.164757
43,01/01/2015 21:30,100,13.162484,26.265656,1431.2864,41.3218,9.578857,4916.341975
44,01/01/2015 22:00,100,13.049199,25.09085,1394.5325,41.3218,9.578857,4907.066861
45,01/01/2015 22:30,100,12.581423,25.387207,1249.8273,41.3218,9.578857,4859.264098
46,01/01/2015 23:00,100,12.472451,26.267944,1217.8489,41.3218,9.578857,4845.547089
47,01/01/2015 23:30,100,12.386157,26.843872,1192.9908,41.3218,9.578857,4833.882008
48,02/01/2015 00:00,100,12.265486,27.038269,1158.5065,41.3218,9.578857,4816.293018
49,02/01/2015 00:30,100,12.055479,27.028198,1099.9398,41.3218,9.578857,4781.78914
50,02/01/2015 01:00,100,12.242017,24.979675,1151.4054,41.3218,9.578857,4812.690217
51,02/01/2015 01:30,100,11.86922,25.901245,1049.1664,41.3218,9.578857,4746.562691
52,02/01/2015 02:00,100,11.534911,27.613983,962.54755,41.3218,9.578857,4670.652713
53,02/01/2015 02:30,100,10.942635,27.911041,821.4733,41.3218,9.578857,4486.629331
54,02/01/2015 03:00,100,10.335723,26.551514,692.1749,41.3218,9.578857,4214.032355
55,02/01/2015 03:30,100,9.763564,24.342773,583.4296,41.3218,9.578857,3862.776861
56,02/01/2015 04:00,100,9.0265465,23.3609,461.08337,41.3218,9.578857,3271.718011
57,02/01/2015 04:30,100,8.274776,24.549988,355.22382,41.3218,9.578857,2554.70261
58,02/01/2015 05:00,100,7.909632,24.818878,310.23502,41.3218,9.578857,2195.593167
59,02/01/2015 05:30,100,7.5895486,23.922913,274.05685,41.3218,9.578857,1890.396246
60,02/01/2015 06:00,100,6.9921722,23.980255,214.3,41.3218,9.578857,1374.007529
61,02/01/2015 06:30,100,6.5776854,22.052185,178.40977,41.3218,9.578857,1071.512304
62,02/01/2015 07:00,100,6.477528,20.090668,170.35,41.3218,9.578857,1006.025316
63,02/01/2015 07:30,100,6.3006096,17.996948,156.75,41.3218,9.578857,897.6368943
64,02/01/2015 08:00,100,5.8568783,16.92984,125.68405,41.3218,9.578857,665.4834032
65,02/01/2015 08:30,100,5.459556,14.611969,101.79978,41.3218,9.578857,501.8577958
66,02/01/2015 09:00,100,4.7286334,12.629517,66.1458,41.3218,9.578857,289.8147268
67,02/01/2015 09:30,100,3.9904854,8.692017,39.75527,41.3218,9.578857,160.3672323
68,02/01/2015 10:00,100,3.3823426,2.5541992,24.207195,41.3218,9.578857,0
69,02/01/2015 10:30,100,2.8797486,351.6335,14.937005,41.3218,9.578857,0
70,02/01/2015 11:00,100,2.9072526,337.78693,15.363792,41.3218,9.578857,0
71,02/01/2015 11:30,100,3.2602613,319.65402,21.66399,41.3218,9.578857,0
72,02/01/2015 12:00,100,3.4472237,303.98218,25.614777,41.3218,9.578857,0
73,02/01/2015 12:30,100,3.601316,291.24448,29.201513,41.3218,9.578857,115.355652
74,02/01/2015 13:00,100,4.694591,278.5187,64.64667,41.3218,9.578857,282.248264
75,02/01/2015 13:30,100,6.0518656,273.69852,138.39716,41.3218,9.578857,760.6965459
76,02/01/2015 14:00,100,7.711796,265.18863,286.0971,41.3218,9.578857,2005.265116
77,02/01/2015 14:30,100,9.16047,261.00958,479.57205,41.3218,9.578857,3389.598914
78,02/01/2015 15:00,100,10.496879,261.0732,720.6755,41.3218,9.578857,4295.87894
79,02/01/2015 15:30,100,10.72001,263.47403,767.54626,41.3218,9.578857,4397.630415
80,02/01/2015 16:00,100,11.092225,266.56433,850.28973,41.3218,9.578857,4539.933029
81,02/01/2015 16:30,100,11.798299,270.87064,1023.1557,41.3218,9.578857,4731.8908
82,02/01/2015 17:00,100,12.235526,271.1908,1141.0295,41.3218,9.578857,4811.682954
83,02/01/2015 17:30,100,12.81963,270.59457,1312.3488,41.3218,9.578857,4885.676001
84,02/01/2015 18:00,100,13.144552,271.5193,1415.1484,41.3218,9.578857,4914.925927
85,02/01/2015 18:30,100,13.455433,270.70773,1518.1941,41.3218,9.578857,4936.955219
86,02/01/2015 19:00,100,13.999514,270.02206,1710.1646,41.3218,9.578857,4964.942441
87,02/01/2015 19:30,100,14.210281,268.65103,1789.4282,41.3218,9.578857,4973.01108
88,02/01/2015 20:00,100,14.307116,267.78668,1826.8481,41.3218,9.578857,4976.301142
89,02/01/2015 20:30,100,14.344206,268.35446,1840.8364,41.3218,9.578857,4977.497621
90,02/01/2015 21:00,100,14.492246,268.16815,1897.2639,41.3218,9.578857,4981.945931
